model,cv_average_precision,roc_auc,average_precision,best_parameters
RandomForest,0.8689705822557553,0.9731979291119077,0.9125245159408903,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 400}"
GradientBoosting,0.7363870542086468,0.8718438868976504,0.7168801945167209,"{""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}"
