mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.4033475875854493,0.23287284434338348,0.015213727951049805,0.0031626191105053876,0.1,3,1,200,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",0.7272769137722175,0.7518686538739503,0.7509118100224256,0.7474327391917026,0.7044451541829382,0.7363870542086468,0.018308114334443945,1
1.4279352188110352,0.2179157644846262,0.017302608489990233,0.0022563055838383,0.1,3,5,200,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}",0.7284163372564146,0.7386800042017386,0.7425130194326862,0.7314561581695025,0.6831963931215378,0.724852382436376,0.02142257825982668,2
0.6793803215026856,0.0920030313015563,0.01359553337097168,0.0028339561815071976,0.1,3,1,100,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__n_estimators': 100}",0.6989283112937745,0.7269666804021045,0.7319198598246415,0.7197902699589726,0.6612362593227313,0.707768276160445,0.025844843290822733,3
1.3567939281463623,0.16588778217905556,0.015727758407592773,0.002446734241697673,0.05,3,1,200,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",0.6947954234981639,0.7173270196768556,0.7288366174798621,0.7248869827163559,0.6558641037005685,0.7043420294143612,0.02695157468063035,4
0.6106492042541504,0.011573245563955396,0.011658287048339844,0.0008918613576588755,0.1,3,5,100,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__min_samples_leaf': 5, 'model__n_estimators': 100}",0.6978767758293822,0.7058603170117532,0.733893161902453,0.7118836960151962,0.6666077541026957,0.703224340972296,0.021871809543896104,5
1.253943634033203,0.028744065854054666,0.013201427459716798,0.0006050307540021311,0.05,3,5,200,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}",0.6949895387749097,0.714774272312417,0.7340849499354225,0.7175663864731798,0.6533818405333873,0.7029593976058632,0.027724387138335596,6
0.8534970283508301,0.010453381558740456,0.013115549087524414,0.0019371284372047967,0.1,2,5,200,"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}",0.6781730388830362,0.7022349450872217,0.6973376491265306,0.6883221154867512,0.6263960813912303,0.678492765994954,0.027311549102348443,7
1.148781681060791,0.14680578109590472,0.015445280075073241,0.0031974550235238427,0.1,2,1,200,"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",0.6716271271091264,0.7037755670809951,0.6924360781740054,0.6903757111729972,0.6241165477738886,0.6764662062622027,0.028136153805972314,8
0.6292648315429688,0.017779713608011147,0.01701641082763672,0.008038727027281421,0.05,3,1,100,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__n_estimators': 100}",0.6702461023710881,0.6900124347037723,0.698783734965829,0.6794150506673193,0.6278030543522386,0.6732520754120495,0.02467957429281522,9
0.7595781803131103,0.11201949685429866,0.013585233688354492,0.002121455272295968,0.05,3,5,100,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__min_samples_leaf': 5, 'model__n_estimators': 100}",0.670220738395955,0.6857959304339101,0.7002216950309648,0.6771922778596188,0.6269362129747825,0.6720733709390462,0.02468860171320304,10
0.4444700241088867,0.01090758305784439,0.011283445358276366,0.0005350243894908269,0.1,2,5,100,"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__min_samples_leaf': 5, 'model__n_estimators': 100}",0.6585113732978807,0.6979541438778653,0.6752433959746893,0.6484209542581101,0.6104450089612834,0.6581149752739657,0.029144807475268705,11
0.4453150272369385,0.0031786901587241663,0.011117696762084961,0.0002641843108919832,0.1,2,1,100,"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__min_samples_leaf': 1, 'model__n_estimators': 100}",0.6522045913877305,0.6973851708290525,0.6746336738517219,0.6512356283718349,0.6144731939068043,0.6579864516694288,0.027574612245449787,12
1.0759727001190185,0.17762213020484288,0.014331388473510741,0.002538584287986926,0.05,2,5,200,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}",0.65846302266263,0.6944758614691499,0.6798462633101852,0.6519345228215067,0.6043812710766457,0.6578201882680235,0.030723146075832958,13
0.861628246307373,0.010694236132269587,0.012277746200561523,0.00022865247161567398,0.05,2,1,200,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",0.6487058109415128,0.6934997610072557,0.6786077820711816,0.6491636046912592,0.6052428927375305,0.6550439702897479,0.030295212011923842,14
0.5194814205169678,0.08341580837675075,0.016171598434448244,0.002902363448786919,0.05,2,5,100,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__min_samples_leaf': 5, 'model__n_estimators': 100}",0.6347309688359454,0.6855702310020837,0.6482585818676118,0.6070974749335122,0.5888919880502776,0.6329098489378862,0.03351377820610784,15
0.5965347290039062,0.1951232516322095,0.013118600845336914,0.0033492646399662187,0.05,2,1,100,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__min_samples_leaf': 1, 'model__n_estimators': 100}",0.6317489117308274,0.6855702310020837,0.6482585818676118,0.6070974749335122,0.5875508166962756,0.6320452032460622,0.03385270923772344,16
